ensembl_gene_id,external_gene_name,chromosome_name,strand,start_position,end_position,gene_biotype,human_module,zebrafish_module,description
ENSDARG00000090815,kcnj10a,7,-1,6428836,6468806,protein_coding,blue,blue,"potassium inwardly-rectifying channel, subfamily J, member 10a [Source:ZFIN;Acc:ZDB-GENE-130726-1]"
ENSDARG00000100304,chdh,8,-1,53493401,53509022,protein_coding,brown,grey,NA
ENSDARG00000010515,dvl1a,23,1,29981470,30065927,protein_coding,grey,yellow,dishevelled segment polarity protein 1a [Source:ZFIN;Acc:ZDB-GENE-090312-40]
ENSDARG00000059575,uhmk1,6,1,35069457,35078084,protein_coding,turquoise,green,U2AF homology motif (UHM) kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060929-1014]
ENSDARG00000020007,col1a2,19,1,41396101,41415860,protein_coding,brown,red,"collagen, type I, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8415]"
ENSDARG00000005574,vsx2,17,-1,31635677,31642707,protein_coding,grey,grey,NA
ENSDARG00000096687,rgs7b,12,-1,47575730,47604340,protein_coding,turquoise,blue,regulator of G protein signaling 7b [Source:ZFIN;Acc:ZDB-GENE-130531-78]
ENSDARG00000008097,srsf9,10,-1,1659229,1669328,protein_coding,turquoise,turquoise,serine/arginine-rich splicing factor 9 [Source:ZFIN;Acc:ZDB-GENE-040426-2397]
ENSDARG00000011661,twf1b,4,-1,14194231,14208622,protein_coding,magenta,purple,twinfilin actin-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040711-3]
ENSDARG00000038159,tcf7l1a,10,-1,42367347,42469519,protein_coding,brown,tan,"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
ENSDARG00000045294,sh3glb1a,24,1,28304119,28318743,protein_coding,purple,grey,SH3-domain GRB2-like endophilin B1a [Source:ZFIN;Acc:ZDB-GENE-050417-89]
ENSDARG00000016141,slc6a2,7,-1,35077004,35108709,protein_coding,grey,lightyellow,"solute carrier family 6 (neurotransmitter transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-110408-4]"
ENSDARG00000034808,kcnip1b,10,1,22034298,22062469,protein_coding,turquoise,grey,Kv channel interacting protein 1 b [Source:ZFIN;Acc:ZDB-GENE-041212-57]
ENSDARG00000000606,dnah6,1,1,21309712,21542595,protein_coding,turquoise,lightyellow,"dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]"
ENSDARG00000069026,adcy1a,20,-1,6904939,7010336,protein_coding,turquoise,skyblue,adenylate cyclase 1a [Source:ZFIN;Acc:ZDB-GENE-070705-302]
ENSDARG00000076933,aldh1a3,7,-1,9476221,9557990,protein_coding,grey,red,"aldehyde dehydrogenase 1 family, member A3 [Source:ZFIN;Acc:ZDB-GENE-061128-2]"
ENSDARG00000017960,sfxn2,12,1,33874082,33891572,protein_coding,grey,green,sideroflexin 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2831]
ENSDARG00000024546,pla2g4aa,2,1,21267837,21303984,protein_coding,brown,tan,NA
ENSDARG00000042791,git2b,10,1,40362817,40396293,protein_coding,greenyellow,turquoise,NA
ENSDARG00000070735,rnd2,3,-1,19701197,19750174,protein_coding,brown,turquoise,NA
ENSDARG00000044436,rps6ka4,5,-1,66398976,66442007,protein_coding,turquoise,turquoise,"ribosomal protein S6 kinase, polypeptide 4 [Source:ZFIN;Acc:ZDB-GENE-060526-284]"
ENSDARG00000031348,mc5ra,19,1,12843359,12883880,protein_coding,turquoise,salmon,melanocortin 5a receptor [Source:ZFIN;Acc:ZDB-GENE-021223-3]
ENSDARG00000039576,fstl1b,9,-1,9757456,9864112,protein_coding,brown,darkgrey,follistatin-like 1b [Source:ZFIN;Acc:ZDB-GENE-030131-3029]
ENSDARG00000077777,tmsb4x,9,1,54612562,54614146,protein_coding,turquoise,turquoise,"thymosin, beta 4 x [Source:ZFIN;Acc:ZDB-GENE-030131-8304]"
ENSDARG00000059866,cactin,2,-1,49874566,49892873,protein_coding,grey,turquoise,NA
ENSDARG00000091061,slc38a3b,6,-1,53149117,53227686,protein_coding,grey,red,"solute carrier family 38, member 3b [Source:ZFIN;Acc:ZDB-GENE-121120-3]"
ENSDARG00000025420,fzd5,9,1,28421776,28423698,protein_coding,blue,turquoise,frizzled class receptor 5 [Source:ZFIN;Acc:ZDB-GENE-990415-218]
ENSDARG00000038615,tmem55ba,2,-1,44530177,44545613,protein_coding,yellow,lightgreen,transmembrane protein 55Ba [Source:ZFIN;Acc:ZDB-GENE-051113-312]
ENSDARG00000032627,SCYL2,4,1,26063846,26092028,protein_coding,turquoise,turquoise,si:ch211-244b2.1 [Source:ZFIN;Acc:ZDB-GENE-041210-205]
ENSDARG00000044034,tmem86a,25,1,24152699,24164902,protein_coding,turquoise,grey,NA
ENSDARG00000036965,rnf24,1,-1,41066429,41116690,protein_coding,turquoise,turquoise,NA
ENSDARG00000074213,eif3bb,1,1,11003560,11020865,protein_coding,blue,green,"eukaryotic translation initiation factor 3, subunit Bb [Source:ZFIN;Acc:ZDB-GENE-090312-175]"
ENSDARG00000067964,slc6a5,7,1,16977309,16995936,protein_coding,grey,lightcyan,"solute carrier family 6 (neurotransmitter transporter), member 5 [Source:ZFIN;Acc:ZDB-GENE-050105-2]"
ENSDARG00000102017,trpc4b,15,1,32784899,32842803,protein_coding,turquoise,pink,"transient receptor potential cation channel, subfamily C, member 4b [Source:ZFIN;Acc:ZDB-GENE-120329-1]"
ENSDARG00000042821,agps,9,-1,1587384,1637817,protein_coding,blue,lightyellow,alkylglycerone phosphate synthase [Source:ZFIN;Acc:ZDB-GENE-031118-14]
ENSDARG00000100592,slc8a2b,15,1,42811638,43025035,protein_coding,turquoise,grey,"solute carrier family 8 (sodium/calcium exchanger), member 2b [Source:ZFIN;Acc:ZDB-GENE-050419-209]"
ENSDARG00000013935,tmem196a,19,-1,2222920,2239088,protein_coding,turquoise,lightcyan,transmembrane protein 196a [Source:ZFIN;Acc:ZDB-GENE-140618-2]
ENSDARG00000056638,pir,11,-1,29670439,29694907,protein_coding,green,grey,pirin [Source:ZFIN;Acc:ZDB-GENE-040718-288]
ENSDARG00000009020,cnr1,20,-1,881438,894492,protein_coding,turquoise,pink,cannabinoid receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040312-3]
ENSDARG00000097576,VAMP1 (1 of many),16,1,9888778,9895357,protein_coding,turquoise,grey,zgc:92912 [Source:ZFIN;Acc:ZDB-GENE-040718-265]
ENSDARG00000012942,itgb5,9,1,22866634,22937146,protein_coding,brown,purple,"integrin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6022]"
ENSDARG00000058015,ano3,25,1,34840417,34963616,protein_coding,turquoise,magenta,anoctamin 3 [Source:ZFIN;Acc:ZDB-GENE-111031-3]
ENSDARG00000077306,cutc,13,1,542741,549329,protein_coding,blue,darkred,cutC copper transporter homolog (E. coli) [Source:ZFIN;Acc:ZDB-GENE-041010-144]
ENSDARG00000045444,fzd8a,24,-1,4415848,4418451,protein_coding,black,royalblue,frizzled class receptor 8a [Source:ZFIN;Acc:ZDB-GENE-000328-3]
ENSDARG00000031678,col5a2a,9,-1,42851401,42894621,protein_coding,turquoise,red,"collagen, type V, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030616-13]"
ENSDARG00000021059,alas1,11,-1,241309,250756,protein_coding,turquoise,grey,"aminolevulinate, delta-, synthase 1 [Source:ZFIN;Acc:ZDB-GENE-001229-2]"
ENSDARG00000040535,CSGALNACT1 (1 of many),10,-1,8338130,8430999,protein_coding,turquoise,greenyellow,chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]
ENSDARG00000026028,ankrd44,9,-1,32295582,32347740,protein_coding,blue,turquoise,ankyrin repeat domain 44 [Source:ZFIN;Acc:ZDB-GENE-070912-605]
ENSDARG00000020948,gmcl1,10,-1,7714746,7743329,protein_coding,grey,blue,"germ cell-less, spermatogenesis associated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-865]"
ENSDARG00000039350,ssbp1,4,-1,4744052,4747779,protein_coding,yellow,salmon,single-stranded DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-050417-340]
ENSDARG00000058270,COLGALT1 (1 of many),1,-1,57277394,57300827,protein_coding,brown,magenta,NA
ENSDARG00000098291,trpc3,14,1,3316131,3358586,protein_coding,turquoise,grey,NA
ENSDARG00000028448,edem2,23,-1,7016786,7049013,protein_coding,blue,blue,"ER degradation enhancer, mannosidase alpha-like 2 [Source:ZFIN;Acc:ZDB-GENE-060519-1]"
ENSDARG00000102827,ubfd1,3,-1,43240590,43254054,protein_coding,turquoise,grey,ubiquitin family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050506-90]
ENSDARG00000009557,wrap73,8,-1,48827313,48859003,protein_coding,green,green,"WD repeat containing, antisense to TP73 [Source:ZFIN;Acc:ZDB-GENE-030131-6313]"
ENSDARG00000060127,adamts3,5,1,44722560,44937520,protein_coding,turquoise,magenta,"ADAM metallopeptidase with thrombospondin type 1 motif, 3 [Source:ZFIN;Acc:ZDB-GENE-110223-1]"
ENSDARG00000086214,ntrk3b,7,1,14386931,14692934,protein_coding,turquoise,pink,"neurotrophic tyrosine kinase, receptor, type 3b [Source:ZFIN;Acc:ZDB-GENE-010126-4]"
ENSDARG00000058593,sri,16,1,7325264,7342999,protein_coding,turquoise,salmon,NA
ENSDARG00000076227,ror2,10,1,5267750,5407205,protein_coding,red,grey,NA
ENSDARG00000031981,pcbd1,13,1,25590519,25596084,protein_coding,black,black,pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha [Source:ZFIN;Acc:ZDB-GENE-040426-1787]
ENSDARG00000042689,zbtb37,22,-1,16005890,16007867,protein_coding,blue,cyan,zinc finger and BTB domain containing 37 [Source:ZFIN;Acc:ZDB-GENE-050208-621]
ENSDARG00000073869,pdzrn3b,6,-1,44246847,44404615,protein_coding,turquoise,magenta,PDZ domain containing RING finger 3b [Source:ZFIN;Acc:ZDB-GENE-071022-4]
ENSDARG00000025522,sgk1,23,-1,31713708,31766778,protein_coding,blue,brown,serum/glucocorticoid regulated kinase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2860]
ENSDARG00000060243,enox1,9,-1,18301664,18561215,protein_coding,grey,darkgreen,ecto-NOX disulfide-thiol exchanger 1 [Source:ZFIN;Acc:ZDB-GENE-081104-328]
ENSDARG00000043848,sod1,10,-1,25732682,25737741,protein_coding,black,turquoise,"superoxide dismutase 1, soluble [Source:ZFIN;Acc:ZDB-GENE-990415-258]"
ENSDARG00000040309,pxdc1b,24,-1,11310710,11327182,protein_coding,brown,purple,PX domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-091204-294]
ENSDARG00000038422,entpd4,8,1,50162188,50191580,protein_coding,turquoise,skyblue,ectonucleoside triphosphate diphosphohydrolase 4 [Source:ZFIN;Acc:ZDB-GENE-040718-116]
ENSDARG00000032087,sgsh,22,1,11490567,11503078,protein_coding,turquoise,grey,N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:ZFIN;Acc:ZDB-GENE-030131-4958]
ENSDARG00000000551,slc1a4,13,-1,24299468,24317178,protein_coding,turquoise,grey,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]"
ENSDARG00000058159,ipo8,4,1,9359781,9388443,protein_coding,grey,lightgreen,importin 8 [Source:ZFIN;Acc:ZDB-GENE-060503-3]
ENSDARG00000102773,cacna1da,11,-1,36530848,36696536,protein_coding,turquoise,grey60,"calcium channel, voltage-dependent, L type, alpha 1D subunit, a [Source:ZFIN;Acc:ZDB-GENE-030616-135]"
ENSDARG00000031108,lrba,1,-1,23228605,23659823,protein_coding,grey,magenta,"LPS-responsive vesicle trafficking, beach and anchor containing [Source:ZFIN;Acc:ZDB-GENE-090311-19]"
ENSDARG00000061486,DNAH10,5,1,27708510,27779220,protein_coding,green,blue,si:dkeyp-86b9.1 [Source:ZFIN;Acc:ZDB-GENE-060531-163]
ENSDARG00000058565,socs6a,24,1,15132633,15134554,protein_coding,blue,blue,suppressor of cytokine signaling 6a [Source:ZFIN;Acc:ZDB-GENE-080722-35]
ENSDARG00000010630,hoxb6a,3,1,23573156,23575198,protein_coding,grey,lightcyan,homeobox B6a [Source:ZFIN;Acc:ZDB-GENE-990415-106]
ENSDARG00000022430,ppp1r8b,16,-1,4684308,4702368,protein_coding,grey,salmon,"protein phosphatase 1, regulatory subunit 8b [Source:ZFIN;Acc:ZDB-GENE-040426-1271]"
ENSDARG00000003420,chrna5,18,-1,40496265,40518814,protein_coding,black,blue,"cholinergic receptor, nicotinic, alpha 5 [Source:ZFIN;Acc:ZDB-GENE-050417-440]"
ENSDARG00000104719,abcc1,3,1,36571624,36602104,protein_coding,brown,darkgrey,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:ZFIN;Acc:ZDB-GENE-050517-15]"
ENSDARG00000091042,sacs,15,-1,9390952,9443401,protein_coding,turquoise,grey,sacsin molecular chaperone [Source:ZFIN;Acc:ZDB-GENE-110411-146]
ENSDARG00000008131,sox1b,1,1,45503101,45504875,protein_coding,red,darkred,SRY (sex determining region Y)-box 1b [Source:ZFIN;Acc:ZDB-GENE-060322-5]
ENSDARG00000053129,carhsp1,3,1,27667252,27700973,protein_coding,green,yellow,calcium regulated heat stable protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1479]
ENSDARG00000097537,wwp1,24,1,42201514,42219275,protein_coding,grey,blue,WW domain containing E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-131120-84]
ENSDARG00000059233,runx2b,20,-1,44097770,44193546,protein_coding,greenyellow,tan,runt-related transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-040629-4]
ENSDARG00000044924,gdf11,11,1,15478583,15622280,protein_coding,brown,lightyellow,NA
ENSDARG00000027497,mast1a,1,1,50668953,50731653,protein_coding,turquoise,grey60,microtubule associated serine/threonine kinase 1a [Source:ZFIN;Acc:ZDB-GENE-121214-221]
ENSDARG00000017047,slc27a4,10,1,10780642,10824572,protein_coding,turquoise,magenta,"solute carrier family 27 (fatty acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-050417-248]"
ENSDARG00000012199,gpt2,7,1,41607356,41621615,protein_coding,green,black,glutamic pyruvate transaminase (alanine aminotransferase) 2 [Source:ZFIN;Acc:ZDB-GENE-030729-8]
ENSDARG00000051730,slc7a10b,25,-1,35717063,35732820,protein_coding,turquoise,lightcyan,"solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10b [Source:ZFIN;Acc:ZDB-GENE-121105-2]"
ENSDARG00000045886,slc38a2,4,1,1750721,1768584,protein_coding,brown,grey,NA
ENSDARG00000063180,dock3,22,1,31866811,32265768,protein_coding,turquoise,yellow,dedicator of cytokinesis 3 [Source:ZFIN;Acc:ZDB-GENE-100624-1]
ENSDARG00000002330,lhx8a,2,1,11422196,11426569,protein_coding,grey,pink,LIM homeobox 8a [Source:ZFIN;Acc:ZDB-GENE-031008-2]
ENSDARG00000102525,lck,17,-1,25326343,25363985,protein_coding,grey,brown,"LCK proto-oncogene, Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-040617-1]"
ENSDARG00000098242,brcc3,21,-1,44552678,44561639,protein_coding,turquoise,purple,"BRCA1/BRCA2-containing complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-100215-1]"
ENSDARG00000068755,exosc8,10,1,35058926,35067642,protein_coding,blue,grey,exosome component 8 [Source:ZFIN;Acc:ZDB-GENE-030131-1736]
ENSDARG00000005541,wif1,4,1,12932914,12957869,protein_coding,turquoise,grey,wnt inhibitory factor 1 [Source:ZFIN;Acc:ZDB-GENE-990712-17]
ENSDARG00000005522,galr1a,19,1,22335649,22339304,protein_coding,turquoise,black,galanin receptor 1a [Source:ZFIN;Acc:ZDB-GENE-060503-290]
ENSDARG00000030106,stmn4,20,-1,34870767,34965935,protein_coding,turquoise,grey,NA
ENSDARG00000023903,atf2,9,1,2346408,2400071,protein_coding,turquoise,black,activating transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030911-8]
ENSDARG00000045935,immp1l,7,1,15781950,15812712,protein_coding,yellow,darkgrey,inner mitochondrial membrane peptidase subunit 1 [Source:ZFIN;Acc:ZDB-GENE-070522-4]
ENSDARG00000043938,lrrc57,17,1,12583323,12593769,protein_coding,turquoise,lightcyan,leucine rich repeat containing 57 [Source:ZFIN;Acc:ZDB-GENE-040718-372]
ENSDARG00000037455,ugt8,1,-1,19863130,19900841,protein_coding,blue,purple,UDP glycosyltransferase 8 [Source:ZFIN;Acc:ZDB-GENE-060616-129]
ENSDARG00000019995,bmp4,17,1,50485001,50507066,protein_coding,black,green,bone morphogenetic protein 4 [Source:ZFIN;Acc:ZDB-GENE-980528-2059]
ENSDARG00000001953,pfkfb3,4,-1,25483583,25496842,protein_coding,pink,salmon,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]"
ENSDARG00000057986,ints8,19,-1,18379385,18537629,protein_coding,black,black,integrator complex subunit 8 [Source:ZFIN;Acc:ZDB-GENE-050522-556]
ENSDARG00000020219,dld,13,-1,5947112,5953343,protein_coding,blue,darkgrey,deltaD [Source:ZFIN;Acc:ZDB-GENE-990415-47]
ENSDARG00000004219,slc6a3,16,-1,362629,376736,protein_coding,grey,pink,NA
ENSDARG00000056690,mtmr1a,7,1,25587113,25607367,protein_coding,turquoise,purple,myotubularin related protein 1a [Source:ZFIN;Acc:ZDB-GENE-050522-518]
ENSDARG00000070922,cnbpb,11,-1,465089,471356,protein_coding,yellow,turquoise,"CCHC-type zinc finger, nucleic acid binding protein b [Source:ZFIN;Acc:ZDB-GENE-030131-7782]"
ENSDARG00000055991,hmbsb,15,-1,23576105,23594680,protein_coding,grey,grey,NA
ENSDARG00000006120,tbx2b,15,1,27431518,27438464,protein_coding,grey,magenta,T-box 2b [Source:ZFIN;Acc:ZDB-GENE-990726-27]
ENSDARG00000061057,cyhr1,19,-1,43349842,43359542,protein_coding,grey,greenyellow,NA
ENSDARG00000056664,arfip2b,10,-1,26244066,26263965,protein_coding,turquoise,yellow,NA
ENSDARG00000103763,l3hypdh,6,1,12849649,12858364,protein_coding,green,grey,NA
ENSDARG00000075933,cox15,13,1,582969,594726,protein_coding,yellow,blue,cytochrome c oxidase assembly homolog 15 (yeast) [Source:ZFIN;Acc:ZDB-GENE-040426-955]
ENSDARG00000057477,lrrc28,7,1,15369865,15408674,protein_coding,turquoise,grey,leucine rich repeat containing 28 [Source:ZFIN;Acc:ZDB-GENE-061128-1]
ENSDARG00000004757,ybx1,8,-1,47153363,47161620,protein_coding,purple,red,Y box binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-000629-3]
ENSDARG00000027082,hmbox1a,17,-1,16290189,16316632,protein_coding,brown,yellow,homeobox containing 1a [Source:ZFIN;Acc:ZDB-GENE-050913-89]
ENSDARG00000098153,lhfpl2b,5,-1,51092588,51109617,protein_coding,greenyellow,red,NA
ENSDARG00000051785,dhx33,5,1,1699971,1726309,protein_coding,yellow,brown,NA
ENSDARG00000089957,lgi2a,7,-1,71177536,71192888,protein_coding,turquoise,grey,"leucine-rich repeat LGI family, member 2a [Source:ZFIN;Acc:ZDB-GENE-060217-2]"
ENSDARG00000056625,trpc6a,21,-1,22764652,22775844,protein_coding,turquoise,blue,"transient receptor potential cation channel, subfamily C, member 6a [Source:ZFIN;Acc:ZDB-GENE-040724-114]"
ENSDARG00000054208,phkg2,12,1,28774071,28786288,protein_coding,turquoise,purple,"phosphorylase kinase, gamma 2 (testis) [Source:ZFIN;Acc:ZDB-GENE-040426-825]"
ENSDARG00000102893,atg7,11,-1,789608,865176,protein_coding,magenta,salmon,ATG7 autophagy related 7 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-1633]
ENSDARG00000012002,slc38a7,7,1,51520597,51539710,protein_coding,turquoise,black,"solute carrier family 38, member 7 [Source:ZFIN;Acc:ZDB-GENE-040801-266]"
ENSDARG00000052766,EVI5L,1,1,44516314,44569954,protein_coding,grey,darkgreen,si:ch211-239f4.1 [Source:ZFIN;Acc:ZDB-GENE-061207-24]
ENSDARG00000017931,ddx26b,14,1,31226203,31267845,protein_coding,grey,turquoise,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B [Source:ZFIN;Acc:ZDB-GENE-040426-1150]
ENSDARG00000031382,reep2,14,-1,21299471,21320760,protein_coding,turquoise,grey,receptor accessory protein 2 [Source:ZFIN;Acc:ZDB-GENE-050706-125]
ENSDARG00000068582,rnf44,14,1,45767260,45834914,protein_coding,turquoise,grey60,ring finger protein 44 [Source:ZFIN;Acc:ZDB-GENE-060929-604]
ENSDARG00000010773,pnpla6,1,-1,45174897,45228837,protein_coding,brown,magenta,patatin-like phospholipase domain containing 6 [Source:ZFIN;Acc:ZDB-GENE-050107-4]
ENSDARG00000037378,qdprb1,1,-1,22154486,22160742,protein_coding,blue,pink,NA
ENSDARG00000040695,fkbp14,16,1,20489157,20499285,protein_coding,pink,royalblue,FK506 binding protein 14 [Source:ZFIN;Acc:ZDB-GENE-040801-210]
ENSDARG00000103747,cav1,25,1,18467076,18481186,protein_coding,brown,grey,NA
ENSDARG00000069525,gpn3,21,1,16979701,16986018,protein_coding,blue,midnightblue,GPN-loop GTPase 3 [Source:ZFIN;Acc:ZDB-GENE-040724-141]
ENSDARG00000033140,desi1a,3,-1,24842477,24849519,protein_coding,grey,grey,desumoylating isopeptidase 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1657]
ENSDARG00000027285,kcnf1b,13,-1,32863461,32864915,protein_coding,turquoise,pink,"potassium voltage-gated channel, subfamily F, member 1b [Source:ZFIN;Acc:ZDB-GENE-090312-39]"
ENSDARG00000055120,ctsba,17,1,32670420,32679003,protein_coding,turquoise,blue,cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]
ENSDARG00000008212,kcnk13a,17,-1,16328345,16334455,protein_coding,red,skyblue,"potassium channel, subfamily K, member 13a [Source:ZFIN;Acc:ZDB-GENE-080219-46]"
ENSDARG00000068983,btbd9,13,-1,44626931,44645563,protein_coding,turquoise,darkred,BTB (POZ) domain containing 9 [Source:ZFIN;Acc:ZDB-GENE-040704-39]
ENSDARG00000060768,ankib1a,19,1,44309941,44365698,protein_coding,blue,yellow,ankyrin repeat and IBR domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-060503-156]
ENSDARG00000019845,pdlim1,13,-1,25632458,25643733,protein_coding,red,red,PDZ and LIM domain 1 (elfin) [Source:ZFIN;Acc:ZDB-GENE-030131-5227]
ENSDARG00000006031,abat,3,-1,27705225,27749387,protein_coding,turquoise,blue,4-aminobutyrate aminotransferase [Source:ZFIN;Acc:ZDB-GENE-031006-4]
ENSDARG00000014531,atg4a,21,1,43490336,43513695,protein_coding,brown,blue,"autophagy related 4A, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-050522-430]"
ENSDARG00000004870,psen1,17,-1,51117190,51135765,protein_coding,blue,grey,presenilin 1 [Source:ZFIN;Acc:ZDB-GENE-991119-4]
ENSDARG00000054821,nubpl,17,1,31702071,31709905,protein_coding,grey,grey,nucleotide binding protein-like [Source:ZFIN;Acc:ZDB-GENE-040718-140]
ENSDARG00000027249,btg1,4,-1,16547197,16556109,protein_coding,brown,turquoise,"B-cell translocation gene 1, anti-proliferative [Source:ZFIN;Acc:ZDB-GENE-010726-1]"
ENSDARG00000024047,tmem38a,11,1,7148884,7169677,protein_coding,turquoise,red,transmembrane protein 38A [Source:ZFIN;Acc:ZDB-GENE-040426-1888]
ENSDARG00000010680,gngt2a,3,1,22962214,22965593,protein_coding,pink,lightyellow,"guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2a [Source:ZFIN;Acc:ZDB-GENE-030131-7595]"
ENSDARG00000004782,fgfr3,13,-1,13085956,13163718,protein_coding,grey,magenta,fibroblast growth factor receptor 3 [Source:ZFIN;Acc:ZDB-GENE-000816-1]
ENSDARG00000088959,pdxka,9,1,19812494,19848469,protein_coding,turquoise,lightgreen,"pyridoxal (pyridoxine, vitamin B6) kinase a [Source:ZFIN;Acc:ZDB-GENE-030131-8376]"
ENSDARG00000021869,rcan2,20,-1,39150595,39285597,protein_coding,turquoise,turquoise,regulator of calcineurin 2 [Source:ZFIN;Acc:ZDB-GENE-040516-17]
ENSDARG00000103735,elovl1b,11,-1,13036576,13094652,protein_coding,blue,purple,ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]
ENSDARG00000070846,dazap1,11,1,5883146,5926996,protein_coding,blue,brown,DAZ associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-070212-1]
ENSDARG00000059067,jupb,19,1,5562075,5676436,protein_coding,blue,turquoise,junction plakoglobin b [Source:ZFIN;Acc:ZDB-GENE-110407-10]
ENSDARG00000052094,notch1b,5,-1,64997150,65103750,protein_coding,blue,yellow,notch 1b [Source:ZFIN;Acc:ZDB-GENE-990415-183]
ENSDARG00000087352,dnah2,7,1,21054979,21360242,protein_coding,brown,lightyellow,"dynein, axonemal, heavy chain 2 [Source:ZFIN;Acc:ZDB-GENE-130530-910]"
ENSDARG00000002952,smo,4,1,14972484,14981182,protein_coding,brown,blue,"smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]"
ENSDARG00000014148,med22,5,1,32687458,32694594,protein_coding,magenta,black,mediator complex subunit 22 [Source:ZFIN;Acc:ZDB-GENE-040625-156]
ENSDARG00000058088,aifm1,5,-1,22045156,22069977,protein_coding,turquoise,darkgrey,"apoptosis-inducing factor, mitochondrion-associated 1 [Source:ZFIN;Acc:ZDB-GENE-030826-11]"
ENSDARG00000016085,mbnl3,14,-1,30646440,30739869,protein_coding,blue,grey,muscleblind-like splicing regulator 3 [Source:ZFIN;Acc:ZDB-GENE-081002-3]
ENSDARG00000045199,CAPN1 (1 of many),7,-1,6548425,6618314,protein_coding,turquoise,orange,zgc:55262 [Source:ZFIN;Acc:ZDB-GENE-040426-2814]
ENSDARG00000058451,rpl6,8,-1,2434729,2447841,protein_coding,grey,orange,ribosomal protein L6 [Source:ZFIN;Acc:ZDB-GENE-030131-8671]
ENSDARG00000040982,fgf14,9,-1,32027298,32104677,protein_coding,turquoise,pink,fibroblast growth factor 14 [Source:ZFIN;Acc:ZDB-GENE-060506-1]
ENSDARG00000105159,hdac8,7,-1,51437156,51474821,protein_coding,grey,royalblue,histone deacetylase 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2772]
ENSDARG00000078142,SPAG9,12,-1,862995,926683,protein_coding,blue,blue,sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
ENSDARG00000007678,ttyh3b,1,-1,11094744,11163553,protein_coding,turquoise,turquoise,tweety family member 3b [Source:ZFIN;Acc:ZDB-GENE-051120-105]
ENSDARG00000032197,klf12b,9,1,30909302,30973146,protein_coding,turquoise,brown,Kruppel-like factor 12b [Source:ZFIN;Acc:ZDB-GENE-071004-22]
ENSDARG00000042927,mapre1a,8,1,23360710,23367406,protein_coding,magenta,brown,"microtubule-associated protein, RP/EB family, member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6067]"
ENSDARG00000020085,slc33a1,18,-1,34182154,34195256,protein_coding,green,darkturquoise,"solute carrier family 33 (acetyl-CoA transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1241]"
